epoch,accuracy,loss,val_accuracy,val_loss
0,0.6557741,0.6288591929649944,0.684593,0.579230664774429
1,0.674651,0.6083920332532243,0.7005814,0.5800545409668324
2,0.68242383,0.6009985612431153,0.69186044,0.5790153305197872
3,0.6851206,0.5951612895061522,0.6976744,0.5786504239536995
4,0.68845177,0.5925572266433444,0.7122093,0.5765567816967188
5,0.6868655,0.5886696215510974,0.70784885,0.575280497933543
6,0.69114846,0.5830634057824382,0.70348835,0.5807983341605164
7,0.691783,0.5809408245504205,0.6947674,0.5803069825782332
8,0.70130074,0.5763836585476919,0.68895346,0.5792731788269309
9,0.704632,0.5722341094979175,0.684593,0.5889373317707417
10,0.70494926,0.566894781771045,0.6976744,0.5650145591691483
11,0.7073287,0.565066320112514,0.6991279,0.5996139631714932
12,0.71256346,0.5619228023865501,0.7005814,0.589438390593196
13,0.7122462,0.5568482613351744,0.70494187,0.6015443670195203
14,0.7166878,0.5523740386751097,0.7165698,0.5882024570953014
15,0.72509515,0.5466526981235156,0.7063953,0.6149465705073157
16,0.7304886,0.5425763669504127,0.6947674,0.6020098439482755
17,0.731599,0.5325940262318263,0.69331396,0.60717581870944
18,0.7396891,0.5298053748565277,0.69186044,0.6157611566920613
19,0.7423858,0.5228077052964777,0.6947674,0.6210474184779233
20,0.7501586,0.5163329309467132,0.6802326,0.6082392050776371
21,0.75824875,0.502036457058742,0.68313956,0.6145639634409616
22,0.76157993,0.49532666511190726,0.67877907,0.6155650005784146
23,0.76792514,0.4873149264509303,0.70348835,0.6622368728005609
24,0.77347714,0.4726968088050179,0.6875,0.650401585323866
25,0.78029823,0.46530019253643634,0.6802326,0.6669327332529911
26,0.78743654,0.4548595265159147,0.6875,0.6731836289860481
27,0.7915609,0.4499543209744589,0.69331396,0.657414899315945
28,0.7914023,0.4463032124006204,0.68168604,0.6768114324225936
29,0.808217,0.4282836147446923,0.6497093,0.6904684111129405
