epoch,accuracy,loss,val_accuracy,val_loss
0,0.31944445,1.8293524268600676,0.5546875,1.3298792764544487
1,0.6414931,1.1393045642309718,0.6953125,1.099446676671505
2,0.7265625,0.8690841272473335,0.6953125,1.10246392339468
3,0.7977431,0.7170690016614066,0.7265625,0.963625080883503
4,0.8177083,0.6342749123771986,0.703125,0.9189162664115429
5,0.8203125,0.6135980735222498,0.71875,0.9615415446460247
6,0.8793403,0.4959125845796532,0.7890625,0.8074901141226292
7,0.8810764,0.4497952713734574,0.6953125,0.9197857975959778
8,0.8888889,0.4268512794127067,0.78125,0.7943704072386026
9,0.8923611,0.403442094516423,0.765625,0.8642977885901928
10,0.90625,0.3878526135037343,0.8046875,0.7752710338681936
11,0.9288194,0.34279736276302075,0.796875,0.7456039600074291
12,0.9314236,0.32703643830286133,0.8125,0.6448259651660919
13,0.9279514,0.31511645919332903,0.8125,0.7806067913770676
14,0.9270833,0.29933828425904113,0.8515625,0.6659789308905602
15,0.9296875,0.3055315440934565,0.828125,0.6529425345361233
16,0.9210069,0.34351329205350745,0.8046875,0.807160995900631
17,0.921875,0.33127501979470253,0.796875,0.7881135307252407
18,0.9314236,0.28065864151964587,0.8046875,0.6618693806231022
19,0.9392361,0.2692933009109563,0.8046875,0.7164480611681938
20,0.9401042,0.26594737720572287,0.8359375,0.6906324625015259
21,0.9331597,0.2697712836994065,0.859375,0.6050784196704626
22,0.9505208,0.2347041197742025,0.8125,0.7358886133879423
23,0.953125,0.24844196252524853,0.765625,0.9333918429911137
24,0.9366319,0.2572028777665562,0.8359375,0.7620467953383923
25,0.9027778,0.37822700747185284,0.8203125,0.7072488106787205
26,0.9331597,0.27014645209742916,0.8125,0.728188581764698
27,0.9548611,0.2103923809611135,0.78125,0.7291064895689487
28,0.9670139,0.18995165235052505,0.8359375,0.6234249118715525
29,0.9644097,0.19351014287935364,0.875,0.5685792118310928
